PrevYrDrought,SoilMoisture,GroundWater,Plantings,WindyDays
0,22,2,2,10
0,18,20,1,9
1,19,7,1,10
1,8,14,1,21
0,21,15,2,6
0,5,16,2,34
0,24,6,1,30
1,10,4,1,19
0,20,23,2,12
0,5,12,1,39
0,5,17,1,41
1,11,1,1,11
1,13,5,1,21
0,10,25,1,12
0,26,7,2,25
1,2,4,2,38
1,15,3,1,56
0,8,6,1,25
0,16,27,2,8
0,14,15,1,16
1,10,5,1,19
0,10,11,2,12
1,11,6,2,13
1,6,12,1,31
0,14,6,2,12
1,19,19,2,15
1,6,5,1,34
0,11,8,2,13
1,7,14,1,19
1,14,1,2,29
1,16,2,1,29
0,8,10,1,57
1,7,2,1,24
0,28,8,1,21
0,9,3,2,29
0,7,16,1,30
1,13,5,2,10
0,19,1,2,43
0,14,17,1,21
1,13,3,2,64
1,6,5,2,51
0,5,24,1,40
0,15,16,2,9
0,24,1,1,23
0,13,1,1,18
0,23,1,2,26
0,21,3,2,14
0,3,15,1,23
0,8,11,1,54
0,10,14,2,21
0,13,21,1,9
1,7,8,2,17
0,15,15,1,17
1,9,3,1,53
0,17,16,1,9
1,16,3,1,27
0,22,1,2,24
0,1,14,1,29
0,24,7,1,30
0,8,23,1,12
0,9,5,2,17
1,25,6,1,59
0,1,13,1,20
0,16,18,1,8
1,26,3,2,26
0,16,2,2,17
0,18,3,2,18
1,14,1,2,53
0,21,13,1,4
0,13,23,1,12
0,21,4,2,22
1,21,2,2,57
1,25,2,2,48
1,9,5,2,22
0,23,4,2,19
1,1,11,2,31
0,18,16,2,1
1,22,1,2,22
0,7,15,2,24
1,23,2,1,39
1,3,3,1,32
0,22,15,1,9
0,28,5,2,24
0,17,25,1,10
0,8,19,1,39
1,12,5,1,15
1,21,2,2,47
1,6,1,1,39
1,5,11,2,31
1,11,5,2,26
1,21,5,1,21
1,19,2,1,43
1,23,3,1,17
0,23,2,2,19
1,23,1,2,5
1,23,4,2,44
1,19,6,2,47
0,24,2,1,44
0,24,1,1,49
0,19,2,2,41
0,4,15,1,24
1,3,5,2,47
1,25,2,1,16
1,10,2,1,25
0,9,16,2,31
0,24,1,1,19
0,16,19,1,12
1,24,4,2,19
0,9,17,1,33
0,23,24,2,1
0,8,25,1,42
1,3,9,1,31
0,10,13,1,23
0,20,24,2,10
1,11,2,1,28
0,6,19,1,40
1,25,2,2,52
0,19,11,1,19
1,5,11,2,39
0,5,11,1,23
1,3,2,1,35
1,24,1,2,37
1,18,3,1,25
1,15,5,1,18
1,4,10,1,16
0,16,15,2,10
1,9,5,2,41
1,8,2,1,37
0,8,3,2,26
1,8,2,1,20
1,13,4,1,19
1,16,4,1,20
0,17,21,2,14
0,14,6,2,14
0,13,3,2,21
1,18,8,2,18
0,8,10,1,23
1,5,15,2,37
0,14,5,2,33
1,8,3,1,42
1,23,2,2,48
0,12,13,1,14
0,14,21,2,17
0,24,6,1,23
0,16,12,1,10
0,18,19,1,15
1,13,2,2,30
0,26,5,1,18
1,11,1,2,10
1,9,5,1,37
1,12,19,1,21
1,21,7,2,10
1,10,13,1,26
0,22,17,1,8
0,8,15,2,34
0,25,3,2,31
1,13,4,2,17
0,16,19,1,15
0,5,8,2,38
0,4,15,2,38
1,16,6,2,13
1,15,4,1,19
0,8,22,2,8
0,27,9,1,27
1,5,3,1,40
1,11,4,2,57
0,12,1,2,29
0,16,27,2,4
0,12,14,1,17
1,3,4,1,33
0,25,14,1,8
0,26,5,1,24
0,14,22,2,8
0,4,19,1,37
1,14,4,2,13
1,24,6,2,45
1,6,4,2,40
1,9,11,1,31
1,11,1,1,28
1,22,5,2,23
1,21,1,2,48
1,21,4,1,17
0,21,4,2,19
1,21,1,2,2
1,20,2,2,46
1,20,10,1,46
0,22,1,1,41
0,21,4,1,50
0,20,4,2,45
0,2,16,1,21
1,4,5,1,49
0,26,6,2,26
1,2,3,1,38
1,12,1,2,54
0,10,6,1,28
0,19,27,1,8
0,13,16,1,16
1,11,6,1,22
0,11,6,1,14
1,10,2,1,15
1,5,12,2,32
0,14,6,1,9
1,20,16,2,15
1,3,3,2,39
0,9,6,1,13
1,10,10,1,19
1,11,3,1,29
1,13,1,2,34
0,10,13,1,57
1,9,1,2,26
0,28,9,2,22
0,9,1,2,26
0,8,15,1,33
1,14,6,1,10
0,24,4,2,44
0,16,17,2,17
1,17,1,2,64
1,3,1,1,47
0,7,24,2,43
0,14,15,1,9
0,21,3,1,23
0,13,2,2,20
0,21,4,2,28
0,23,4,1,15
0,6,18,2,22
0,5,11,1,55
0,8,13,1,21
0,17,22,2,7
1,11,4,2,19
0,16,12,1,18
1,10,3,2,52
0,14,11,2,10
1,13,1,1,30
0,22,1,2,27
0,2,14,2,33
0,23,9,2,27
0,13,23,2,8
0,7,5,1,20
1,22,3,1,59
0,4,15,1,25
0,14,18,1,5
1,24,6,1,24
0,16,3,1,19
0,17,5,1,19
1,14,2,1,50
0,21,15,2,5
0,8,21,2,7
0,26,1,1,20
1,22,6,1,56
1,25,3,2,50
1,10,1,2,23
0,24,3,2,21
1,3,11,1,32
0,18,16,2,3
1,25,1,1,21
0,2,14,2,23
1,24,6,1,37
1,6,1,2,35
0,23,11,2,8
0,23,7,2,23
0,14,24,1,8
0,7,19,2,38
1,12,2,1,11
1,22,3,2,46
1,6,3,1,36
1,10,10,2,28
1,6,1,1,27
1,24,3,1,18
1,19,1,2,45
1,25,1,1,22
0,25,3,2,24
1,19,1,1,6
1,24,1,1,46
1,17,6,1,49
0,20,1,2,45
0,20,3,1,49
0,22,1,1,41
0,2,13,1,20
1,6,1,2,50
1,24,5,1,16
1,7,3,1,24
0,8,15,2,34
0,24,4,1,23
0,20,19,1,13
1,21,6,1,19
0,5,20,2,30
0,24,24,1,4
0,10,27,1,40
1,2,8,2,32
0,8,13,1,22
0,20,22,2,8
1,12,2,1,32
0,9,16,1,38
1,26,6,1,50
0,18,6,2,16
1,1,9,1,42
0,6,13,2,21
1,8,5,2,35
1,23,2,1,37
1,23,4,2,24
1,18,6,1,20
1,2,9,2,19
0,15,15,1,8
1,9,5,1,46
1,6,1,2,40
0,12,8,1,22
1,11,3,1,18
1,15,1,1,19
1,14,1,2,17
0,17,20,1,9
0,16,10,1,14
0,15,2,2,22
1,16,4,1,17
0,10,7,1,25
1,9,18,2,36
0,10,8,1,33
1,10,3,2,42
1,25,3,2,44
0,13,16,1,13
0,19,20,2,15
0,26,6,1,22
0,14,16,1,8
0,17,23,2,12
1,12,1,1,30
0,23,3,2,19
1,11,1,1,11
1,7,3,1,40
1,14,18,1,23
1,20,4,2,12
1,5,9,1,25
0,20,17,2,8
