time,temperature_C,precipitation_mm,wind_speed_mps,ingested_at
2025-11-19 00:00:00,4.6,0.0,6.1,2025-11-19 10:10:08.653645
2025-11-19 01:00:00,4.5,0.0,6.3,2025-11-19 10:10:08.653645
2025-11-19 02:00:00,5.6,0.0,7.3,2025-11-19 10:10:08.653645
2025-11-19 03:00:00,5.2,0.0,7.9,2025-11-19 10:10:08.653645
2025-11-19 04:00:00,5.1,0.2,4.0,2025-11-19 10:10:08.653645
2025-11-19 05:00:00,4.8,0.8,4.7,2025-11-19 10:10:08.653645
2025-11-19 06:00:00,4.1,1.5,3.6,2025-11-19 10:10:08.653645
2025-11-19 07:00:00,3.8,0.7,7.2,2025-11-19 10:10:08.653645
2025-11-19 08:00:00,3.7,0.3,7.9,2025-11-19 10:10:08.653645
2025-11-19 09:00:00,3.7,0.0,10.0,2025-11-19 10:10:08.653645
2025-11-19 10:00:00,3.9,0.0,12.2,2025-11-19 10:10:08.653645
2025-11-19 11:00:00,4.2,0.0,9.7,2025-11-19 10:10:08.653645
2025-11-19 12:00:00,4.5,0.0,10.8,2025-11-19 10:10:08.653645
2025-11-19 13:00:00,5.2,0.0,11.9,2025-11-19 10:10:08.653645
2025-11-19 14:00:00,5.9,0.0,11.2,2025-11-19 10:10:08.653645
2025-11-19 15:00:00,6.2,0.0,9.8,2025-11-19 10:10:08.653645
2025-11-19 16:00:00,5.8,0.0,6.8,2025-11-19 10:10:08.653645
2025-11-19 17:00:00,5.6,0.0,4.5,2025-11-19 10:10:08.653645
2025-11-19 18:00:00,5.6,0.0,4.6,2025-11-19 10:10:08.653645
2025-11-19 19:00:00,5.4,0.0,5.4,2025-11-19 10:10:08.653645
2025-11-19 20:00:00,4.2,0.0,6.9,2025-11-19 10:10:08.653645
2025-11-19 21:00:00,4.0,0.0,8.2,2025-11-19 10:10:08.653645
2025-11-19 22:00:00,1.9,0.0,7.3,2025-11-19 10:10:08.653645
2025-11-19 23:00:00,1.5,0.0,6.1,2025-11-19 10:10:08.653645
2025-11-20 00:00:00,0.7,0.0,4.9,2025-11-19 10:10:08.653645
2025-11-20 01:00:00,0.1,0.0,5.2,2025-11-19 10:10:08.653645
2025-11-20 02:00:00,-0.2,0.0,6.1,2025-11-19 10:10:08.653645
2025-11-20 03:00:00,-0.3,0.0,6.0,2025-11-19 10:10:08.653645
2025-11-20 04:00:00,-0.3,0.0,6.5,2025-11-19 10:10:08.653645
2025-11-20 05:00:00,-0.3,0.0,6.8,2025-11-19 10:10:08.653645
2025-11-20 06:00:00,-0.2,0.0,6.6,2025-11-19 10:10:08.653645
2025-11-20 07:00:00,-0.3,0.0,4.3,2025-11-19 10:10:08.653645
2025-11-20 08:00:00,0.8,0.0,5.1,2025-11-19 10:10:08.653645
